USMANIAGL,6/11/2012,89.1,91,89.1,89.6,700
UTTARABANK,6/11/2012,45.7,46,45.4,45.7,93850
UTTARAFIN,6/11/2012,112,112,107,110.9,28000
ANWARGALV,6/11/2012,22.6,23.5,22.4,23,40500
BDAUTOCA,6/11/2012,39.3,39.3,37.1,37.5,9550
BDCOM,6/11/2012,20.2,20.5,20.1,20.2,18500
BDTHAI,6/11/2012,36.8,37.3,36.2,36.8,87700
BEACONPHAR,6/11/2012,20.6,20.7,20.1,20.2,266500
DSHGARME,6/11/2012,36.9,36.9,36.1,36.5,2400
HAKKANIPUL,6/11/2012,24.1,25,24,24.3,3000
ILFSL,6/11/2012,29.6,30,29.3,29.8,102500
KAY&QUE,6/11/2012,36.6,38,36.6,37.2,7000
MIRACLEIND,6/11/2012,14,14.2,14,14,27000
PREMIERLEA,6/11/2012,22.6,22.6,21.9,22.3,247500
SAVAREFR,6/11/2012,55.2,60,55.2,58.6,200
STANCERAM,6/11/2012,31.5,31.5,31.5,31.5,500
GPHISPAT,6/11/2012,79.1,80,78.2,79,297500
GSPFINANCE,6/11/2012,43.5,44.5,42.5,43.8,293000
PADMALIFE,6/11/2012,122.8,124.7,121,122.9,103000
RDFOOD,6/11/2012,29.7,30,29.2,29.8,64800
ZAHINTEX,6/11/2012,38.1,38.1,37.3,37.6,62000
ALLTEX,6/11/2012,8.8,8.8,8.6,8.7,47500
AZIZPIPES,6/11/2012,20.8,22.5,20.4,20.6,900
DELTALIFE,6/11/2012,4000,4049,4000,4027.5,200
DULAMIACOT,6/11/2012,10.4,10.7,10.1,10.3,1100
ICBIBANK,6/11/2012,8.4,8.5,8.2,8.4,144000
IMAMBUTTON,6/11/2012,12.6,13.1,12.6,12.9,2000
JANATAINS,6/11/2012,260,260,255.25,259.75,860
LAFSURCEML,6/11/2012,42.5,42.8,40.8,42.4,3160500
MEGCONMILK,6/11/2012,14,14.5,14,14,9000
MEGHNAPET,6/11/2012,8.5,8.5,8.5,8.5,2500
PRIMELIFE,6/11/2012,199,199.5,199,199.3,150
